"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geoData";
"162";"Транспортно-пересадочный узел «Ходынка»";"1769993";"Северный административный округ";"район Сокол";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт";"";"{type=Point, coordinates=[37.4996270002, 55.798242999967]}";
"163";"Транспортно-пересадочный узел «Дубровка» (2)";"1769994";"Юго-Восточный административный округ";"Южнопортовый район";"платформа «Угрешская»";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт";"";"{type=Point, coordinates=[37.678081999935, 55.71266600003]}";
"164";"Транспортно-пересадочный узел «Варшавское шоссе»";"1769995";"Южный административный округ";"Нагорный район";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт; перехватывающая парковка; пригородная железная дорога";"100";"{type=Point, coordinates=[37.617678000132, 55.68989299995]}";
"165";"Транспортно-пересадочный узел «Пресня»";"1769996";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт";"";"{type=Point, coordinates=[37.516394000181, 55.766699999842]}";
"166";"Транспортно-пересадочный узел «Хорошёво»";"1769997";"Северный административный округ";"Хорошёвский район";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт";"";"{type=Point, coordinates=[37.507081000341, 55.777301000187]}";
"167";"Транспортно-пересадочный узел «Новопесчаная»";"1769998";"Северный административный округ";"Хорошёвский район";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт; перехватывающая парковка";"";"{type=Point, coordinates=[37.504441999768, 55.788171999955]}";
"168";"Транспортно-пересадочный узел «Белокаменная»";"1769999";"Восточный административный округ";"район Богородское";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт";"";"{type=Point, coordinates=[37.701958000275, 55.829506999967]}";
"21";"Транспортно-пересадочный узел «Крюково» (п)";"1770001";"Зеленоградский административный округ";"район Крюково";"платформа «Крюково»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.173550000195, 55.980208999848]}";
"22";"Транспортно-пересадочный узел «Малино» (п)";"1770002";"Зеленоградский административный округ";"район Старое Крюково";"платформа «Малино»";"2014";"построен";"пригородная железная дорога";"16";"{type=Point, coordinates=[37.210563999906, 55.969508999812]}";
"23";"Транспортно-пересадочный узел «Аэропорт» (п)";"1770003";"Северный административный округ";"район Аэропорт";"станция метро «Аэропорт»";"2014";"построен";"метро; перехватывающая парковка";"100";"{type=Point, coordinates=[37.531244158839, 55.801229713764]}";
"25";"Транспортно-пересадочный узел «Красный Балтиец» (п)";"1770005";"Северный административный округ";"район Коптево";"платформа «Красный Балтиец»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.526665000272, 55.815890999833]}";
"26";"Транспортно-пересадочный узел «Марк» (п)";"1770006";"Северо-Восточный административный округ";"район Лианозово";"платформа «Марк»";"2014";"построен";"пригородная железная дорога";"90";"{type=Point, coordinates=[37.538635000229, 55.904537000204]}";
"27";"Транспортно-пересадочный узел «Моссельмаш» (с)";"1770007";"Северный административный округ";"район Западное Дегунино";"платформа «Моссельмаш»";"2014";"построен";"пригородная железная дорога";"53";"{type=Point, coordinates=[37.526622473128, 55.862531154242]}";
"29";"Транспортно-пересадочный узел «Новоподрезково» (п)";"1770009";"Северный административный округ";"Молжаниновский район";"платформа «Новоподрезково»";"2014";"построен";"пригородная железная дорога";"102";"{type=Point, coordinates=[37.352026153458, 55.936659100158]}";
"30";"Транспортно-пересадочный узел «Петровский парк» (п)";"1770010";"Северный административный округ";"район Аэропорт";"станция метро «Петровский парк»";"2015";"проект";"метро; перехватывающая парковка";"300";"{type=Point, coordinates=[37.556888576359, 55.790614556397]}";
"31";"Транспортно-пересадочный узел «Свиблово» (п)";"1770011";"Северо-Восточный административный округ";"район Свиблово";"станция метро «Свиблово»";"2014";"построен";"метро; перехватывающая парковка";"660";"{type=Point, coordinates=[37.654041050943, 55.855889229721]}";
"32";"Транспортно-пересадочный узел «Яуза» (п)";"1770012";"Северо-Восточный административный округ";"район Ростокино";"платформа «Яуза»";"2014";"построен";"пригородная железная дорога";"14";"{type=Point, coordinates=[37.669951904356, 55.829569603909]}";
"33";"Транспортно-пересадочный узел «Алексеевская» (п)";"1770013";"Северо-Восточный административный округ";"Останкинский район";"станция метро «Алексеевская»";"2014";"построен";"метро; перехватывающая парковка";"390";"{type=Point, coordinates=[37.636681795289, 55.80891609238]}";
"34";"Транспортно-пересадочный узел «Ботанический Сад» (п)";"1770014";"Северо-Восточный административный округ";"район Свиблово";"станция метро «Ботанический сад»";"2014";"построен";"метро; московская кольцевая железная дорога; перехватывающая парковка";"200";"{type=Point, coordinates=[37.638744000194, 55.846071000217]}";
"35";"Транспортно-пересадочный узел «Владыкино» (п)";"1770015";"Северо-Восточный административный округ";"район Марфино";"станция метро «Владыкино»";"2014";"построен";"метро; московская кольцевая железная дорога; перехватывающая парковка";"";"{type=Point, coordinates=[37.590046861343, 55.846448628456]}";
"186";"Транспортно-пересадочный узел «Мневники»";"1770016";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"станция метро «Мнёвники»";"2019";"проект";"метро";"";"{type=Point, coordinates=[37.469302999651, 55.764684999841]}";
"187";"Транспортно-пересадочный узел «улица Народного Ополчения» (к)";"1770017";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"станция метро «улица Народного Ополчения»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.478895000049, 55.777221999996]}";
"188";"Транспортно-пересадочный узел «Кленовый Бульвар» (к)";"1770018";"Южный административный округ";"район Нагатинский Затон";"станция метро «Нагатинский затон»";"2019";"проект";"метро";"";"{type=Point, coordinates=[37.680929000022, 55.675170999859]}";
"190";"Транспортно-пересадочный узел «Мичуринский проспект» (к)";"1770020";"Западный административный округ";"район Раменки";"станция метро «Мичуринский проспект»";"2020";"проект";"метро; перехватывающая парковка";"390";"{type=Point, coordinates=[37.489304000231, 55.692545999797]}";
"192";"Транспортно-пересадочный узел «Селигерская улица» (к)";"1770022";"Северный административный округ";"Бескудниковский район";"станция метро «Селигерская улица»";"2019";"проект";"Метро; перехватывающая парковка; автовокзал";"870";"{type=Point, coordinates=[37.54617200021, 55.868317000013]}";
"195";"Транспортно-пересадочный узел «Фонвизинская» (к)";"1770025";"Северный административный округ";"Тимирязевский район";"станция метро «Фонвизинская»";"2019";"проект";"метро";"";"{type=Point, coordinates=[37.576539000417, 55.814987999799]}";
"199";"Транспортно-пересадочный узел «Улица Дмитриевского » (к)";"1770029";"Восточный административный округ";"район Косино-Ухтомский";"станция метро «Улица Дмитриевского»";"2019";"проект";"метро";"";"{type=Point, coordinates=[37.877233999662, 55.709428999898]}";
"200";"Транспортно-пересадочный узел «Алма-Атинская» (к)";"1770030";"Южный административный округ";"район Братеево";"станция метро «Алма-Атинская»";"2019";"проект";"метро";"";"{type=Point, coordinates=[37.765548999924, 55.633412999774]}";
"213";"Транспортно-пересадочный узел «Новогиреево» (п)";"1770031";"Восточный административный округ";"район Новогиреево";"станция метро «Новогиреево»";"2020";"проект";"метро";"";"{type=Point, coordinates=[37.816614999773, 55.751716999821]}";
"214";"Транспортно-пересадочный узел «Щелковская»";"1770032";"Восточный административный округ";"район Гольяново";"станция метро «Щёлковская»";"2020";"проект";"Метро; перехватывающая парковка";"600";"{type=Point, coordinates=[37.798555999631, 55.810228000125]}";
"215";"Транспортно-пересадочный узел «Таганская» (п)";"1770033";"Центральный административный округ";"Таганский район";"станция метро «Таганская»";"2020";"проект";"Метро; станция железной дороги; автовокзал";"";"{type=Point, coordinates=[37.65386900021, 55.74220299979]}";
"216";"Транспортно-пересадочный узел «Тушинская» (к)";"1770034";"Северо-Западный административный округ";"район Покровское-Стрешнево";"станция метро «Тушинская», платформа «Тушинская»";"2020";"проект";"Метро; станция железной дороги; автовокзал";"";"{type=Point, coordinates=[37.437585999556, 55.827034000085]}";
